date,avg_temp,low_temp,high_temp
1,13.4,7.9,19.2
2,14.2,9.1,19.4
3,14.8,9.1,20.8
4,17.8,10,25.2
5,18.9,12.5,25.8
6,19.6,13.7,25.6
7,18.4,15.3,23.1
8,15.3,11.7,18.2
9,17.9,11,25.3
10,19.9,13.6,26.3
11,19.7,16.6,25.2
12,20.9,14.1,28.1
13,19.4,15,25.2
14,15.7,11.9,20
15,16.2,10.5,22.4
16,17.3,10.9,23.7
17,20,13,27.4
18,20,15.7,25.4
19,19.9,16.1,24.2
20,20.6,15.6,25.8
21,20.1,16.1,26
22,20.3,15.7,25.8
23,23,17.8,30.7
24,22.9,16.7,30.2
25,21,16.7,26.7
26,18.7,14.1,23.5
27,20,16,25.6
28,22.3,15,29.3
29,23.1,19.3,29.7
30,20.8,17.2,24.7
